Title,Description,Director,Actors,Entidades
Guardians of the Galaxy,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana","['fanatical warrior', 'universe', 'james gunn', 'chris pratt', 'vin diesel', 'bradley cooper', 'zoe saldana']"
Prometheus,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.",Ridley Scott,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron","['distant moon', 'ridley scott', 'noomi rapace', 'logan marshall-green', 'michael fassbender', 'charlize theron']"
Split,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula","['three girls', 'm. night shyamalan', 'james mcavoy', 'anya taylor-joy', 'haley lu richardson', 'jessica sula']"
Sing,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists' find that their lives will never be the same.",Christophe Lourdelet,"Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson","['hustling theater impresario', 'theater', 'city of humanoid animals', 'christophe lourdelet', 'matthew mcconaughey,reese witherspoon', 'seth macfarlane', 'scarlett johansson']"
Suicide Squad,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Viola Davis","['world', 'apocalypse', 'david ayer', 'will smith', 'jared leto', 'margot robbie', 'viola davis']"
The Great Wall,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,Yimou Zhang,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau","['great wall of china', 'yimou zhang', 'matt damon', 'tian jing', 'willem dafoe', 'andy lau']"
La La Land,A jazz pianist falls for an aspiring actress in Los Angeles.,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons","['los angeles', 'aspiring actress', 'a jazz pianist', 'damien chazelle', 'ryan gosling', 'emma stone', 'rosemarie dewitt', 'j.k. simmons']"
Mindhorn,"A has-been actor best known for playing the title character in the 1980s detective series ""Mindhorn"" must work with the police when a serial killer says that he will only speak with Detective Mindhorn, whom he believes to be a real person.",Sean Foley,"Essie Davis, Andrea Riseborough, Julian Barratt,Kenneth Branagh","['has-been actor', 'detective mindhorn', '1980s', 'serial killer', 'mindhorn', 'sean foley', 'essie davis', 'andrea riseborough', 'julian barratt,kenneth branagh']"
The Lost City of Z,"A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared while searching for a mysterious city in the Amazon in the 1920s.",James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland","['amazon', 'mysterious city', '1920s', 'british', 'col. percival fawcett', 'a true-life drama', 'james gray', 'charlie hunnam', 'robert pattinson', 'sienna miller', 'tom holland']"
Passengers,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",Morten Tyldum,"Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne","['two passengers', '90 years early', 'sleep chambers', 'distant colony planet', 'morten tyldum', 'jennifer lawrence', 'chris pratt', 'michael sheen,laurence fishburne']"
Fantastic Beasts and Where to Find Them,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,David Yates,"Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler","['harry potter', 'newt scamander', 'new york', 'david yates', 'eddie redmayne', 'katherine waterston', 'alison sudol,dan fogler']"
Hidden Figures,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Theodore Melfi,"Taraji P. Henson, Octavia Spencer, Janelle Monáe,Kevin Costner","['early years', 'u.s.', 'theodore melfi', 'taraji p. henson', 'octavia spencer', 'janelle monae,kevin costner']"
Rogue One,"The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow.",Gareth Edwards,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen","['the rebel alliance', 'gareth edwards', 'felicity jones', 'diego luna', 'alan tudyk', 'donnie yen']"
Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right.",Ron Clements,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison","['terrible curse', 'ocean', 'maui', 'chieftain', 'ancient polynesia', 'ron clements', ""auli'i cravalho"", 'dwayne johnson', 'rachel house', 'temuera morrison']"
Colossal,"Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",Nacho Vigalondo,"Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson","['new york city', 'seoul', 'gloria', 'nacho vigalondo', 'anne hathaway', 'jason sudeikis', 'austin stowell,tim blake nelson']"
The Secret Life of Pets,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",Chris Renaud,"Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell","['duke', 'max', 'chris renaud', 'louis c.k.', 'eric stonestreet', 'kevin hart', 'lake bell']"
Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer","['battle of okinawa', 'desmond t. doss', 'mel gibson', 'andrew garfield', 'sam worthington', 'luke bracey,teresa palmer']"
Jason Bourne,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,Paul Greengrass,"Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel","['former operative', 'paul greengrass', 'matt damon', 'tommy lee jones', 'alicia vikander,vincent cassel']"
Lion,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family.",Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar","['25 years later', 'calcutta', 'a five-year-old indian boy', 'he', 'australia', 'garth davis', 'dev patel', 'nicole kidman', 'rooney mara', 'sunny pawar']"
Arrival,"When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.",Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg","['world', 'louise banks', 'denis villeneuve', 'amy adams', 'jeremy renner', 'forest whitaker,michael stuhlbarg']"
Gold,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.",Stephen Gaghan,"Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll","['indonesia', 'uncharted jungle', 'kenny wells', 'stephen gaghan', 'matthew mcconaughey', 'edgar ramirez', 'bryce dallas howard', 'corey stoll']"
Manchester by the Sea,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler,Lucas Hedges","['teenage nephew', 'a depressed uncle', 'kenneth lonergan', 'casey affleck', 'michelle williams', 'kyle chandler,lucas hedges']"
Hounds of Love,"A cold-blooded predatory couple while cruising the streets in search of their next victim, will stumble upon a 17-year-old high school girl, who will be sedated, abducted and chained in the strangers' guest room.",Ben Young,"Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter","['a cold-blooded predatory couple', '17-year-old high school girl', 'guest room', 'ben young', 'emma booth', 'ashleigh cummings', 'stephen curry,susie porter']"
Trolls,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",Walt Dohrn,"Anna Kendrick, Justin Timberlake,Zooey Deschanel, Christopher Mintz-Plasse","['troll', 'troll village', 'poppy', 'branch', 'walt dohrn', 'anna kendrick', 'justin timberlake,zooey deschanel', 'christopher mintz-plasse']"
Independence Day: Resurgence,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",Roland Emmerich,"Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe","['earth', 'independence day invasion', 'roland emmerich', 'liam hemsworth', 'jeff goldblum', 'bill pullman,maika monroe']"
Paris pieds nus,"Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing.",Dominique Abel,"Fiona Gordon, Dominique Abel,Emmanuelle Riva, Pierre Richard","['catastrophes', 'dom', 'aunt martha', 'fiona', 'paris', 'dominique abel', 'fiona gordon', 'dominique abel,emmanuelle riva', 'pierre richard']"
Bahubali: The Beginning,"In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people.",S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia","['adventurous and daring man', 'ancient india', 'feud', 's.s. rajamouli', 'prabhas', 'rana daggubati', 'anushka shetty,tamannaah bhatia']"
Dead Awake,A young woman must save herself and her friends from an ancient evil that stalks its victims through the real-life phenomenon of sleep paralysis.,Phillip Guzman,"Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty","['a young woman', 'phillip guzman', 'jocelin donahue', 'jesse bradford', 'jesse borrego,lori petty']"
Bad Moms,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",Jon Lucas,"Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate","['jon lucas', 'mila kunis', 'kathryn hahn', 'kristen bell,christina applegate']"
Assassin's Creed,"When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society.",Justin Kurzel,"Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson","['callum lynch', 'justin kurzel', 'michael fassbender', 'marion cotillard', 'jeremy irons,brendan gleeson']"
Why Him?,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.,John Hamburg,"Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer","['ned fleming', 'silicon valley', 'john hamburg', 'zoey deutch', 'james franco', 'tangie ambrose,cedric the entertainer']"
Nocturnal Animals,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",Tom Ford,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson","['novel', 'a wealthy art gallery owner', 'violent thriller', 'tom ford', 'amy adams', 'jake gyllenhaal', 'michael shannon', 'aaron taylor-johnson']"
X-Men: Apocalypse,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult","['world', 'world-destroyer', 'x-men', 'extinction level plan', 'apocalypse', 'bryan singer', 'james mcavoy', 'michael fassbender', 'jennifer lawrence', 'nicholas hoult']"
Deadpool,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein","['fast-talking mercenary', 'tim miller', 'ryan reynolds', 'morena baccarin', 't.j. miller', 'ed skrein']"
Resident Evil: The Final Chapter,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",Paul W.S. Anderson,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts","['apocalypse', 'alice', 'the hive', 'raccoon city', 'paul w.s. anderson', 'milla jovovich', 'iain glen', 'ali larter', 'shawn roberts']"
Captain America: Civil War,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,Anthony Russo,"Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan","['political interference', 'iron man', 'captain america', 'anthony russo', 'chris evans', 'robert downey jr.,scarlett johansson', 'sebastian stan']"
Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy","['wormhole', 'space', 'christopher nolan', 'matthew mcconaughey', 'anne hathaway', 'jessica chastain', 'mackenzie foy']"
Doctor Strange,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong","['mystic arts', 'brilliant neurosurgeon', 'scott derrickson', 'benedict cumberbatch', 'chiwetel ejiofor', 'rachel mcadams', 'benedict wong']"
The Magnificent Seven,Seven gunmen in the old west gradually come together to help a poor village against savage thieves.,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke,Vincent D'Onofrio","['old west', 'seven gunmen', 'poor village', 'antoine fuqua', 'denzel washington', 'chris pratt', ""ethan hawke,vincent d'onofrio""]"
5/25/1977,"Alienated, hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois, falling in love, and becoming the first fan of the movie that changed everything.",Patrick Read Johnson,"John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn","['pat johnson', 'rural illinois', 'patrick read johnson', 'john francis daley', 'austin pendleton', 'colleen camp', 'neil flynn']"
Sausage Party,A sausage strives to discover the truth about his existence.,Greg Tiernan,"Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell","['greg tiernan', 'seth rogen', 'kristen wiig', 'jonah hill', 'alistair abell']"
Moonlight,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.",Barry Jenkins,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert","['childhood', 'miami', 'gay man', 'adolescence', 'rough neighborhood', 'barry jenkins', 'mahershala ali', 'shariff earp', 'duan sanderson', 'alex r. hibbert']"
Don't Fuck in the Woods,"A group of friends are going on a camping trip to celebrate graduating college. But once they enter the woods, the proverbial shit starts to hit the fan.",Shawn Burkett,"Brittany Blanton, Ayse Howard, Roman Jossart,Nadia White","['camping trip', 'a group of friends', 'woods', 'shawn burkett', 'brittany blanton', 'ayse howard', 'roman jossart,nadia white']"
The Founder,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into one of the biggest restaurant businesses in the world with a combination of ambition, persistence, and ruthlessness.",John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini","['ray kroc', 'john lee hancock', 'michael keaton', 'nick offerman', 'john carroll lynch', 'linda cardellini']"
Lowriders,"A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression.",Ricardo de Montreuil,"Gabriel Chavarria, Demián Bichir, Theo Rossi,Tony Revolori","['east los angeles', 'lowrider car culture', 'ex-felon brother', 'a young street artist', 'father', 'ricardo de montreuil', 'gabriel chavarria', 'demian bichir', 'theo rossi,tony revolori']"
Pirates of the Caribbean: On Stranger Tides,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush","['blackbeard', 'barbossa', 'jack sparrow', 'rob marshall', 'johnny depp', 'penelope cruz', 'ian mcshane', 'geoffrey rush']"
Miss Sloane,"In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.",John Madden,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw,Michael Stuhlbarg","['elizabeth sloane', 'd.c.', 'john madden', 'jessica chastain', 'mark strong', 'gugu mbatha-raw,michael stuhlbarg']"
Fallen,"A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years.",Scott Hicks,"Hermione Corfield, Addison Timlin, Joely Richardson,Jeremy Irvine","['school', 'a young girl', 'angel', 'a young boy', 'reform school', 'fellow student', 'she', 'scott hicks', 'hermione corfield', 'addison timlin', 'joely richardson,jeremy irvine']"
Star Trek Beyond,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.",Justin Lin,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana","['new ruthless enemy', 'uncharted space', 'justin lin', 'chris pine', 'zachary quinto', 'karl urban', 'zoe saldana']"
The Last Face,"A director (Charlize Theron) of an international aid agency in Africa meets a relief aid doctor (Javier Bardem) amidst a political/social revolution, and together face tough choices ... See full summary »",Sean Penn,"Charlize Theron, Javier Bardem, Adèle Exarchopoulos,Jared Harris","['africa', 'javier bardem', 'political/social revolution', 'relief aid doctor', 'charlize theron', 'sean penn', 'charlize theron', 'javier bardem', 'adele exarchopoulos,jared harris']"
Star Wars: Episode VII - The Force Awakens,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance.",J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson","['galaxy', 'j.j. abrams', 'daisy ridley', 'john boyega', 'oscar isaac', 'domhnall gleeson']"
Underworld: Blood Wars,"Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.",Anna Foerster,"Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver","['eternal war', 'selene', 'kate beckinsale', 'anna foerster', 'kate beckinsale', 'theo james', 'tobias menzies', 'lara pulver']"
Mother's Day,Three generations come together in the week leading up to Mother's Day.,Garry Marshall,"Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis","['three generations', ""mother's day"", 'garry marshall', 'jennifer aniston', 'kate hudson', 'julia roberts', 'jason sudeikis']"
John Wick,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","['an ex-hitman', 'chad stahelski', 'keanu reeves', 'michael nyqvist', 'alfie allen', 'willem dafoe']"
The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart,Michael Caine","['the dark knight', 'the joker', 'gotham', 'christopher nolan', 'christian bale', 'heath ledger', 'aaron eckhart,michael caine']"
Silence,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",Martin Scorsese,"Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano","['mentor', 'japan', 'portuguese jesuit priests', '17th century', 'martin scorsese', 'andrew garfield', 'adam driver', 'liam neeson,tadanobu asano']"
Don't Breathe,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",Fede Alvarez,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto","['blind man', 'house', 'fede alvarez', 'stephen lang', 'jane levy', 'dylan minnette', 'daniel zovatto']"
Me Before You,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,Thea Sharrock,"Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance","['a girl', 'small town', 'recently-paralyzed man', 'thea sharrock', 'emilia clarke', 'sam claflin', 'janet mcteer', 'charles dance']"
Their Finest,"A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them.",Lone Scherfig,"Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston","['propaganda films', 'a former secretary', 'scriptwriter', 'blitz', 'major production', 'lone scherfig', 'gemma arterton', 'sam claflin', 'bill nighy', 'jack huston']"
Sully,"The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",Clint Eastwood,"Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey","['american', 'hudson river', 'chesley sullenberger', 'clint eastwood', 'tom hanks', 'aaron eckhart', 'laura linney', 'valerie mahaffey']"
Batman v Superman: Dawn of Justice,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg","['batman', 'superman', 'man of steel', 'world', 'zack snyder', 'ben affleck', 'henry cavill', 'amy adams', 'jesse eisenberg']"
The Autopsy of Jane Doe,"A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",André Øvredal,"Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton","['young woman', 'a father and son', 'andre øvredal', 'brian cox', 'emile hirsch', 'ophelia lovibond', 'michael mcelhatton']"
The Girl on the Train,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,Tate Taylor,"Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux","['shockwaves', 'a divorcee', 'tate taylor', 'emily blunt', 'haley bennett', 'rebecca ferguson', 'justin theroux']"
Fifty Shades of Grey,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",Sam Taylor-Johnson,"Dakota Johnson, Jamie Dornan, Jennifer Ehle,Eloise Mumford","['anastasia steele', 'literature', 'christian grey', 'sam taylor-johnson', 'dakota johnson', 'jamie dornan', 'jennifer ehle,eloise mumford']"
The Prestige,Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.,Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine","['christopher nolan', 'christian bale', 'hugh jackman', 'scarlett johansson', 'michael caine']"
Kingsman: The Secret Service,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.",Matthew Vaughn,"Colin Firth, Taron Egerton, Samuel L. Jackson,Michael Caine","['twisted tech genius', 'street kid', 'unrefined', 'matthew vaughn', 'colin firth', 'taron egerton', 'samuel l. jackson,michael caine']"
Patriots Day,"The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",Peter Berg,"Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman","['city-wide manhunt', 'boston marathon bombing', '2013', 'peter berg', 'mark wahlberg', 'michelle monaghan', 'j.k. simmons', 'john goodman']"
Mad Max: Fury Road,"A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.",George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz","['max', 'postapocalyptic australia', 'psychotic worshipper', 'a woman', 'drifter', 'george miller', 'tom hardy', 'charlize theron', 'nicholas hoult', 'zoe kravitz']"
Wakefield,A man's nervous breakdown causes him to leave his wife and live in his attic for several months.,Robin Swicord,"Bryan Cranston, Jennifer Garner, Beverly D'Angelo,Jason O'Mara","['him', 'a man', 'attic', 'robin swicord', 'bryan cranston', 'jennifer garner', ""beverly d'angelo,jason o'mara""]"
Deepwater Horizon,"A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history.",Peter Berg,"Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont","['u.s.', 'april 2010', 'worst oil spill', 'peter berg', 'mark wahlberg', 'kurt russell', 'douglas m. griffin', 'james dumont']"
The Promise,"Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris.",Terry George,"Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho","['ana', 'michael', 'chris', 'american journalist', 'ottoman empire', 'paris', 'the promise', 'terry george', 'oscar isaac', 'charlotte le bon', 'christian bale', 'daniel gimenez cacho']"
Allied,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",Robert Zemeckis,"Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim","['canadian intelligence officer', 'north africa', '1942', 'london', 'female french resistance fighter', 'robert zemeckis', 'brad pitt', 'marion cotillard', 'jared harris', 'vincent ebrahim']"
A Monster Calls,A boy seeks the help of a tree monster to cope with his single mother's terminal illness.,J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones,Toby Kebbell","['a boy', 'single mother', 'j.a. bayona', 'lewis macdougall', 'sigourney weaver', 'felicity jones,toby kebbell']"
Collateral Beauty,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",David Frankel,"Will Smith, Edward Norton, Kate Winslet, Michael Peña","['love', 'tragedy', 'man', 'david frankel', 'will smith', 'edward norton', 'kate winslet', 'michael pena']"
Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Byron Howard,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate","['city of anthropomorphic animals', 'rookie bunny cop', 'cynical con artist fox', 'byron howard', 'ginnifer goodwin', 'jason bateman', 'idris elba', 'jenny slate']"
Pirates of the Caribbean: At World's End,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush","['captain barbossa', 'elizabeth swann', 'treachery', 'will turner', 'jack sparrow', 'gore verbinski', 'johnny depp', 'orlando bloom', 'keira knightley,geoffrey rush']"
The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner","['earth', 'loki', 'joss whedon', 'robert downey jr.', 'chris evans', 'scarlett johansson,jeremy renner']"
Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth,Mélanie Laurent","['world war ii', 'nazi-occupied france', 'theatre owner', 'quentin tarantino', 'brad pitt', 'diane kruger', 'eli roth,melanie laurent']"
Pirates of the Caribbean: Dead Man's Chest,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport","['davy jones', 'jack sparrow', 'gore verbinski', 'johnny depp', 'orlando bloom', 'keira knightley', 'jack davenport']"
Ghostbusters,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Paul Feig,"Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones","['erin gilbert', 'abby yates', 'jillian holtzmann', 'ghost invasion', 'manhattan', 'patty tolan', 'paul feig', 'melissa mccarthy', 'kristen wiig', 'kate mckinnon', 'leslie jones']"
