Title,Description,Director,Actors,Entidades
The Social Network,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.",David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake,Rooney Mara","['co-founder', 'mark zuckerberg', 'david fincher', 'jesse eisenberg', 'andrew garfield', 'justin timberlake,rooney mara']"
The Last Witch Hunter,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,Breck Eisner,"Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson","['the last witch hunter', 'breck eisner', 'vin diesel', 'rose leslie', 'elijah wood', 'olafur darri olafsson']"
Victor Frankenstein,"Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today.",Paul McGuigan,"Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott","['frankenstein', 'emergence', 'viktor von frankenstein', 'paul mcguigan', 'daniel radcliffe', 'james mcavoy', 'jessica brown findlay', 'andrew scott']"
A Street Cat Named Bob,"Based on the international best selling book. The true feel good story of how James Bowen, a busker and recovering drug addict, had his life transformed when he met a stray ginger cat.",Roger Spottiswoode,"Luke Treadaway, Bob the Cat, Ruta Gedmintas, Joanne Froggatt","['james bowen', 'roger spottiswoode', 'luke treadaway', 'bob the cat', 'ruta gedmintas', 'joanne froggatt']"
Green Room,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,Jeremy Saulnier,"Anton Yelchin, Imogen Poots, Alia Shawkat,Patrick Stewart","['murder', 'neo-nazi skinhead bar', 'jeremy saulnier', 'anton yelchin', 'imogen poots', 'alia shawkat,patrick stewart']"
Blackhat,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.,Michael Mann,"Chris Hemsworth, Viola Davis, Wei Tang, Leehom Wang","['a furloughed convict', 'los angeles', 'hong kong', 'chicago', 'jakarta', 'michael mann', 'chris hemsworth', 'viola davis', 'wei tang', 'leehom wang']"
Storks,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.",Nicholas Stoller,"Andy Samberg, Katie Crown,Kelsey Grammer, Jennifer Aniston","['nicholas stoller', 'andy samberg', 'katie crown,kelsey grammer', 'jennifer aniston']"
American Sniper,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind.",Clint Eastwood,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis","['chris kyle', 'clint eastwood', 'bradley cooper', 'sienna miller', 'kyle gallner', 'cole konis']"
Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn","['dallas', '1985', 'ron woodroof', 'jean-marc vallee', 'matthew mcconaughey', 'jennifer garner', 'jared leto', 'steve zahn']"
Lincoln,"As the War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn,Joseph Gordon-Levitt","['war', 'america', 'battlefield', 'president', 'steven spielberg', 'daniel day-lewis', 'sally field', 'david strathairn,joseph gordon-levitt']"
Rush,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde,Alexandra Maria Lara","['niki lauda', '1970s', 'james hunt', 'ron howard', 'daniel bruhl', 'chris hemsworth', 'olivia wilde,alexandra maria lara']"
Before I Wake,A young couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.,Mike Flanagan,"Kate Bosworth, Thomas Jane, Jacob Tremblay,Annabeth Gish","['orphaned child', 'mike flanagan', 'kate bosworth', 'thomas jane', 'jacob tremblay,annabeth gish']"
Silver Linings Playbook,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver","['pat solitano', 'mental institution', 'pat', 'tiffany', 'david o. russell', 'bradley cooper', 'jennifer lawrence', 'robert de niro', 'jacki weaver']"
Tracktown,"A young, talented, and lonely long-distance runner twists her ankle as she prepares for the Olympic Trials and must do something she's never done before: take a day off.",Alexi Pappas,"Alexi Pappas, Chase Offerle, Rachel Dratch, Andy Buckley","['long-distance runner', 'young', 'olympic trials', 'she', 'alexi pappas', 'alexi pappas', 'chase offerle', 'rachel dratch', 'andy buckley']"
The Fault in Our Stars,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,Josh Boone,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern","['amsterdam', 'reclusive author', 'josh boone', 'shailene woodley', 'ansel elgort', 'nat wolff', 'laura dern']"
Blended,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.",Frank Coraci,"Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon","['man and woman', 'resort for families', 'frank coraci', 'adam sandler', 'drew barrymore', 'wendi mclendon-covey', 'kevin nealon']"
Fast & Furious,"Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.",Justin Lin,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster","['los angeles', 'dominic toretto', ""brian o'conner"", 'justin lin', 'vin diesel', 'paul walker', 'michelle rodriguez', 'jordana brewster']"
Looper,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano","['2074', 'assassination', 'joe', 'rian johnson', 'joseph gordon-levitt', 'bruce willis', 'emily blunt', 'paul dano']"
White House Down,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",Roland Emmerich,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal,Jason Clarke","['white house', 'capitol policeman', 'president', 'roland emmerich', 'channing tatum', 'jamie foxx', 'maggie gyllenhaal,jason clarke']"
Pete's Dragon,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.",David Lowery,"Bryce Dallas Howard, Robert Redford, Oakes Fegley,Oona Laurence","['dragon', 'elliot', 'pete', 'david lowery', 'bryce dallas howard', 'robert redford', 'oakes fegley,oona laurence']"
Spider-Man 3,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",Sam Raimi,"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church","['a strange black entity', 'peter parker', 'another world', 'sam raimi', 'tobey maguire', 'kirsten dunst', 'topher grace', 'thomas haden church']"
